StationId,StationName,City,State,FullAddress,location,latitude,longitude,road_distance,river_distance,industry_distance
KA016,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Kalaburagi,Karnataka,"Kalaburagi, Karnataka, India","Kalaburagi, Karnataka, India",17.2408957,76.7697439,440.4263703,8734.369824,3284.617657
KA017,"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,Karnataka,"Mysuru, Karnataka, India","Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India",12.3041464,76.6529521,51.87844863,443.9865597,2072.1042
KA018,"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,Karnataka,"Ramanagara, Karnataka, India","Ramanagara, Karnataka, India",12.720006,77.3184199,355.6021782,1588.181972,3053.821122
KA019,"Ibrahimpur, Vijayapura - KSPCB",Vijayapura,Karnataka,"Vijayapura, Karnataka, India","Vijayapura, Karnataka, India",16.814415,75.8933856,234.2030941,132.8619872,13261.92035
KA020,"Collector Office, Yadgir - KSPCB",Yadgir,Karnataka,"Yadgir, Karnataka, India","Yadgir, Karnataka, India",16.5744123,76.9254434,532.6497321,6505.130127,6256.899231
KL001,"Udyogamandal, Eloor - Kerala PCB",Eloor,Kerala,"Eloor, Kerala, India","Eloor, Paravur, Ernakulam, Kerala, 683501, India",10.0669964,76.2989276,3.140001216,247.6348804,174.3100586
KL002,"Kacheripady, Ernakulam - Kerala PCB",Ernakulam,Kerala,"Ernakulam, Kerala, India","Ernakulam, Kanayannur, Ernakulam, Kerala, 682035, India",9.9837257,76.2740001,5.637074003,98.59138764,341.5159771
KL003,"Thavakkara, Kannur - Kerala PCB",Kannur,Kerala,"Kannur, Kerala, India","Kannur, Kerala, India",11.8763836,75.3737973,6.408647183,509.0980966,901.8313837
KL004,"Vyttila, Kochi - Kerala PCB",Kochi,Kerala,"Kochi, Kerala, India","Kochi, Ernakulam, Kerala, 682001, India",9.9679032,76.2444378,3.875599888,86.87695356,329.6412733
KL005,"Polayathode, Kollam - Kerala PCB",Kollam,Kerala,"Kollam, Kerala, India","Kollam, Kerala, 691001, India",8.8870815,76.5907017,18.57306094,626.4115522,164.8053538
KL006,"Palayam, Kozhikode - Kerala PCB",Kozhikode,Kerala,"Kozhikode, Kerala, India","Kozhikode, Kerala, 673001, India",11.2450558,75.7754716,5.888814169,15.80414238,507.5939103
KL007,"Kariavattom, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,"Thiruvananthapuram, Kerala, India","Thiruvananthapuram, Kerala, 695001, India",8.4882267,76.947551,3.583244013,409.0997333,438.1495477
KL008,"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,Kerala,"Thiruvananthapuram, Kerala, India","Thiruvananthapuram, Kerala, 695001, India",8.4882267,76.947551,3.583244013,409.0997333,438.1495477
MP001,"T T Nagar, Bhopal - MPPCB",Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh, India","Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",23.2584857,77.401989,10.61626508,692.4194625,2267.916499
MP002,"Shrivastav Colony, Damoh - MPPCB",Damoh,Madhya Pradesh,"Damoh, Madhya Pradesh, India","Damoh, Madhya Pradesh, India",23.7981005,79.5419356,355.6827909,2090.60124,14712.98378
MP003,"Bhopal Chauraha, Dewas - MPPCB",Dewas,Madhya Pradesh,"Dewas, Madhya Pradesh, India","Dewas, Madhya Pradesh, India",22.8057498,76.2940408,385.05583,6906.81956,25178.91163
MP004,"City Center, Gwalior - MPPCB",Gwalior,Madhya Pradesh,"Gwalior, Madhya Pradesh, India","Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",26.2037247,78.1573628,17.3255942,1012.888398,3333.989439
MP005,"Phool Bagh, Gwalior - Mondelez Ind. Food",Gwalior,Madhya Pradesh,"Gwalior, Madhya Pradesh, India","Gwalior, Gird Tahsil, Gwalior, Madhya Pradesh, 474001, India",26.2037247,78.1573628,17.3255942,1012.888398,3333.989439
MP006,"Chhoti Gwaltoli, Indore - MPPCB",Indore,Madhya Pradesh,"Indore, Madhya Pradesh, India","Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",22.7203616,75.8681996,26.78358718,2819.573748,440.2535137
