StationName,City,State,FullAddress,location,latitude,longitude
"Khadakpada, Kalyan - MPCB",Kalyan,Maharashtra,"Kalyan, Maharashtra, India","Kalyan, Kalyan-Dombivli, Kalyan Taluka, Thane, Maharashtra, India",19.2396742,73.1366482
"Bandra, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Borivali East, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Colaba, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Kurla, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Powai, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Sion, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Vasai West, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Vile Parle West, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Worli, Mumbai - MPCB",Mumbai,Maharashtra,"Mumbai, Maharashtra, India","Mumbai Suburban, Maharashtra, India",19.054999,72.8692035
"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur,Maharashtra,"Nagpur, Maharashtra, India","Nagpur City, Nagpur Urban Taluka, Nagpur, Maharashtra, India",21.1498134,79.0820556
"Gangapur Road, Nashik - MPCB",Nashik,Maharashtra,"Nashik, Maharashtra, India","Nashik, Nashik Taluka, Nashik, Maharashtra, 422001, India",20.0112475,73.7902364
"Airoli, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,"Navi Mumbai, Maharashtra, India","Navi Mumbai, Thane Taluka, Thane, Maharashtra, India",19.0308262,73.0198537
"Mahape, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,"Navi Mumbai, Maharashtra, India","Navi Mumbai, Thane Taluka, Thane, Maharashtra, India",19.0308262,73.0198537
"Nerul, Navi Mumbai - MPCB",Navi Mumbai,Maharashtra,"Navi Mumbai, Maharashtra, India","Navi Mumbai, Thane Taluka, Thane, Maharashtra, India",19.0308262,73.0198537
"Karve Road, Pune - MPCB",Pune,Maharashtra,"Pune, Maharashtra, India","Pune City, Pune, Maharashtra, India",18.5213738,73.8545071
"Solapur, Solapur - MPCB",Solapur,Maharashtra,"Solapur, Maharashtra, India","Solapur, Maharashtra, India",17.8499067,75.2763203
"Pimpleshwar Mandir, Thane - MPCB",Thane,Maharashtra,"Thane, Maharashtra, India","Thane, Thane Taluka, Thane, Maharashtra, India",19.1943294,72.9701779
